GIỐNG - LOẠI,GIỐNG - NHU CẦU,GIỐNG - TỈNH THÀNH,QUẬN HUYỆN,GIÁ - TRIỆU ĐỒNG,DIỆN TÍCH - M2,HƯỚNG,SỐ TẦNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3948,66.2,Đông,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3311,43.7,Tây,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3944,84.3,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3926,112.8,Tây Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4466,69.6,Tây,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7046,70.6,Nam,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5075,117.6,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2355,117.7,Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4404,,Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2784,91.6,Tây,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3969,67.4,,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5191,74.5,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2314,136.3,Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5862,84.6,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2621,76.3,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6725,54.1,Đông Bắc,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4061,104.3,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5890,78.4,,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3074,95.8,Đông Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4054,89.2,Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2591,92.9,Bắc,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4943,78.9,,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4099,41.0,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2137,57.5,,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6323,82.9,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2649,148.6,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2971,111.5,,,,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4020,85.7,Đông,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4755,69.5,Đông,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5394,,Đông,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5665,,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4739,101.1,,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6231,,Tây,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1605,144.4,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4118,64.1,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6593,70.3,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4000,66.0,,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2155,71.0,Đông Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3281,110.1,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5652,50.1,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5463,80.7,Đông Nam,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3650,54.2,Đông Nam,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2966,123.6,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,2837,106.2,Đông,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3936,103.9,,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3903,55.7,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2054,70.5,,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3285,116.8,Tây Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5948,84.7,,,,1,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Thủ Đức,3872,76.0,Tây,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4397,91.3,Đông Nam,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3058,107.5,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2278,,Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3327,76.8,Tây Bắc,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4722,41.4,Tây Nam,,1,,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 11,3959,99.0,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4110,100.4,Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4504,105.6,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4125,88.3,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6705,72.6,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3171,72.6,Tây Nam,,3,1,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Thủ Đức,3250,66.6,Đông Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5868,32.6,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2187,103.5,,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2524,137.4,Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3925,100.3,Tây Bắc,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4281,82.7,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2262,115.1,Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2397,83.9,,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3799,53.8,Đông Nam,,,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6429,48.3,Tây,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3113,128.6,Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4679,70.6,Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2644,58.7,Tây Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,,55.2,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3837,90.6,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5809,75.6,Tây Bắc,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2426,81.0,Tây Nam,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,,115.5,Bắc,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3624,87.4,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3318,62.2,Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3864,113.3,Tây Bắc,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1790,79.6,Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3386,81.9,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3775,61.1,,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3415,71.6,Đông,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4388,42.1,Tây Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2048,116.6,Đông Bắc,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3082,100.8,Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4085,,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4368,66.8,Đông,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4439,49.3,Đông,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4268,73.9,Tây Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4185,107.7,Đông Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1939,92.4,,,1,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4249,109.4,Tây,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4448,40.8,Đông,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3706,44.8,Tây Bắc,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3875,44.0,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3423,79.1,Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3536,103.6,Nam,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4071,61.4,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4634,56.9,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5087,105.8,Đông Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3751,74.7,Đông Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5412,,Đông Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2887,101.3,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2169,65.4,Đông Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4578,,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2923,74.4,,,,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2600,54.5,,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2679,61.1,Tây Bắc,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,2749,71.1,Tây,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3486,106.2,Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2343,71.7,Nam,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7005,57.2,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5113,109.7,Tây Nam,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2037,86.8,Đông Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2095,67.0,Tây,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2339,50.5,Đông Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1743,94.9,,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2169,141.1,Đông,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4147,86.8,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2632,125.2,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2024,145.8,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2476,72.8,Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5166,83.3,,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3387,54.2,Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3788,80.8,,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4211,79.1,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2716,117.6,Đông Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3461,48.5,Đông Bắc,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3771,49.4,Bắc,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4550,108.9,,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5040,85.6,Đông Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4890,60.1,Đông,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2337,106.9,,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,2154,67.5,Đông,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2008,114.1,Tây Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2851,59.2,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3969,88.2,Đông Nam,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4538,56.9,,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4554,94.8,Đông,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3690,66.4,Tây Nam,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5056,55.8,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4525,89.6,Tây Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4167,89.6,Tây Nam,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,,149.0,Đông Nam,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1513,,,,,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3425,115.3,Đông,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3853,,,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3487,,,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4448,,Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2393,114.5,Đông Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4952,66.8,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7119,,,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3037,87.9,Đông,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4608,45.1,Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,3955,28.2,Tây,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4064,42.0,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3199,74.6,Bắc,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5299,52.7,Tây Nam,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 12,2070,80.6,,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3162,116.1,Tây Bắc,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4106,49.0,Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3347,115.0,Đông Bắc,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2421,145.2,Tây Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5240,56.4,,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2716,80.0,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4499,67.1,Nam,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2004,87.0,Tây Bắc,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3977,83.1,Đông,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2371,117.9,Tây Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2132,108.4,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4835,105.5,Đông Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4650,113.2,Nam,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3822,40.8,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4382,70.3,Tây Nam,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3501,45.0,Tây Nam,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3644,108.5,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,5269,69.8,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3300,67.0,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5098,77.1,Tây Nam,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4667,50.7,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2183,61.8,,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5144,,Tây Nam,,4,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2958,105.9,Đông Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4950,,,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4757,91.4,Đông Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2147,,Đông,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5080,66.0,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4251,101.5,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4005,68.0,Đông Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4022,108.9,Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4824,77.8,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2648,101.1,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2424,141.0,Tây,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4300,111.0,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3193,115.4,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1416,134.1,Tây Bắc,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4696,51.5,Đông Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5964,84.8,Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3446,50.5,Nam,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4956,96.9,Tây,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5472,61.8,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2482,62.2,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2732,74.6,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2670,137.0,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3573,40.5,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5812,75.7,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6591,58.4,Đông Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4970,101.4,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2199,81.4,Đông,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2775,125.2,Đông Bắc,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3085,69.5,Đông,,1,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3941,104.1,Tây Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5119,86.2,,,,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3660,103.0,Tây Nam,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6216,38.9,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3574,62.8,Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2608,123.6,Bắc,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3760,106.0,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3398,81.9,Đông,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3711,127.7,Tây,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5526,86.6,Tây,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3514,93.9,Đông Bắc,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5839,75.6,Tây,,1,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5832,89.4,Đông,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4244,61.1,Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,,119.4,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4892,115.1,Đông,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2409,105.4,,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2095,109.7,Tây Nam,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4714,82.2,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4347,88.4,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4265,67.7,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4090,102.0,,,1,3,Đang chờ sổ
