,Property Type,Transaction Type,City,District,Price (Million VND),Area (m2),Direction,Rooms,Toilets,Legal Papers
0,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2650.0,69.0,Null,2.0,2.0,Đã có sổ
1,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3970.0,74.1,Null,2.0,2.0,Đang chờ sổ
3,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2870.0,65.0,Null,2.0,2.0,Giấy tờ khác
4,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3000.0,70.0,Đông Bắc,2.0,2.0,Đã có sổ
5,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3200.0,70.0,Null,2.0,1.0,Đang chờ sổ
6,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3800.0,56.6,Null,2.0,2.0,Giấy tờ khác
7,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,1570.0,20.0,Đông Bắc,1.0,1.0,Đã có sổ
8,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3500.0,89.0,Null,2.0,2.0,Giấy tờ khác
9,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1500.0,55.0,Nam,2.0,2.0,Giấy tờ khác
10,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1750.0,65.0,Null,2.0,2.0,Đã có sổ
11,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1620.0,66.0,Tây Bắc,2.0,1.0,Đã có sổ
12,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1640.0,50.0,Bắc,2.0,1.0,Đã có sổ
13,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,1500.0,60.0,Nam,2.0,1.0,Đang chờ sổ
14,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1920.0,70.0,Null,2.0,2.0,Đang chờ sổ
15,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2586.0,68.0,Null,2.0,2.0,Giấy tờ khác
16,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3950.0,77.0,Null,2.0,2.0,Đã có sổ
17,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4700.0,104.5,Null,3.0,2.0,Đang chờ sổ
18,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2360.0,57.0,Null,2.0,1.0,Đang chờ sổ
20,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1400.0,59.0,Tây Nam,2.0,1.0,Giấy tờ khác
22,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3200.0,88.0,Bắc,3.0,2.0,Đang chờ sổ
23,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2250.0,83.0,Bắc,3.0,2.0,Đang chờ sổ
25,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4000.0,76.0,Null,2.0,2.0,Đang chờ sổ
26,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4450.0,92.5,Đông Nam,2.0,2.0,Giấy tờ khác
27,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 5,2250.0,120.0,Null,3.0,2.0,Đã có sổ
28,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4700.0,104.0,Null,3.0,2.0,Giấy tờ khác
29,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,1390.0,60.0,Null,1.0,1.0,Đã có sổ
30,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 8,2001.0,80.43,Null,3.0,2.0,Đang chờ sổ
31,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5500.0,66.8,Null,2.0,2.0,Giấy tờ khác
32,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2360.0,57.0,Null,2.0,1.0,Đang chờ sổ
33,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2850.0,72.17,Null,2.0,2.0,Đã có sổ
34,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4330.0,84.0,Null,2.0,2.0,Giấy tờ khác
35,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5730.0,91.0,Null,3.0,2.0,Đã có sổ
36,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4700.0,77.0,Tây Bắc,2.0,2.0,Đã có sổ
37,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1750.0,54.0,Null,1.0,1.0,Đang chờ sổ
38,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5000.0,130.0,Null,3.0,2.0,Đã có sổ
39,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2100.0,90.0,Null,3.0,2.0,Giấy tờ khác
40,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2360.0,66.66,Đông Nam,2.0,2.0,Đang chờ sổ
41,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,4000.0,75.0,Null,2.0,2.0,Giấy tờ khác
42,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,1900.0,57.0,Null,2.0,2.0,Đã có sổ
43,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2350.0,62.0,Null,2.0,2.0,Đang chờ sổ
44,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,1800.0,101.0,Đông Nam,3.0,2.0,Giấy tờ khác
46,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,11000.0,83.0,Null,4.0,5.0,Đã có sổ
47,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1600.0,63.0,Tây Bắc,2.0,2.0,Đang chờ sổ
48,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,1525.0,47.0,Tây Bắc,1.0,1.0,Giấy tờ khác
49,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,3250.0,75.0,Bắc,2.0,2.0,Giấy tờ khác
50,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 6,1500.0,15.0,Nam,1.0,1.0,Giấy tờ khác
51,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2100.0,69.0,Đông Nam,2.0,2.0,Đang chờ sổ
52,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2550.0,63.0,Null,2.0,1.0,Đang chờ sổ
53,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2450.0,63.0,Null,2.0,1.0,Giấy tờ khác
54,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4700.0,71.0,Null,2.0,2.0,Đã có sổ
55,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2400.0,72.0,Đông Bắc,2.0,2.0,Đang chờ sổ
56,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2740.0,78.0,Null,2.0,2.0,Giấy tờ khác
