Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
HistGradientBoostingRegressor,0.7530360659032584,0.7546217091398346,1714.538903053955,0.398329496383667
GradientBoostingRegressor,0.7295837883068697,0.7313200079646105,1794.1012077509556,1.9668972492218018
RandomForestRegressor,0.7209280551758575,0.7227198493641345,1822.588668529461,8.247926235198975
MLPRegressor,0.7181933598525515,0.7200027122772542,1831.4968978388135,12.729687929153442
LinearRegression,0.6542555450025436,0.656475413092415,2028.6549649277272,0.10966801643371582
Ridge,0.6542518458523635,0.6564717376927978,2028.6658172771988,0.06657576560974121
Lasso,0.6542066356191498,0.6564268177339546,2028.7984477129407,0.13363981246948242
DecisionTreeRegressor,0.5223101630377179,0.5253771924885191,2384.534318097503,0.20514702796936035
