Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
HistGradientBoostingRegressor,0.06685727249555795,0.070716423560506,2.128639436724033,2.846707344055176
GradientBoostingRegressor,0.06283565433379057,0.06671143740106189,2.133221464258352,1.1484205722808838
MLPRegressor,0.0355619244075307,0.039550502056796444,2.164039780766683,16.993870496749878
Ridge,0.034062149081215964,0.0380569292752555,2.165721751207062,0.0408329963684082
LinearRegression,0.03406184297584236,0.03805662443582647,2.1657220943652744,0.05940818786621094
Lasso,-0.004171277054561884,-1.8376818604171063e-05,2.208167245209391,0.04244351387023926
RandomForestRegressor,-0.014137355875172508,-0.009943239432347095,2.2190978683350675,3.067304849624634
DecisionTreeRegressor,-0.2268344448853059,-0.22176068787585468,2.4407373466441693,0.07505631446838379
